"","tanggal","brgkt","tiba"
"816",2022-06-14,5034,5006
"817",2022-06-15,6213,5359
"818",2022-06-16,6357,5287
"819",2022-06-17,6460,5235
"820",2022-06-18,6110,5221
"821",2022-06-19,6469,5728
"822",2022-06-20,6480,5959
"823",2022-06-21,6049,5247
"824",2022-06-22,6508,5660
"825",2022-06-23,6565,5013
"826",2022-06-24,6616,5718
"827",2022-06-25,6680,6189
"828",2022-06-26,6835,6403
"829",2022-06-27,6175,6291
"830",2022-06-28,5557,6321
"831",2022-06-29,6657,6111
"832",2022-06-30,6605,5471
"833",2022-07-01,6617,5848
"834",2022-07-02,6370,5811
"835",2022-07-03,6244,6292
"836",2022-07-04,5661,6806
"837",2022-07-05,5886,5967
"838",2022-07-06,6178,6362
"839",2022-07-07,6341,6165
"840",2022-07-08,6089,6041
"841",2022-07-09,4818,5249
"842",2022-07-10,3984,5361
"843",2022-07-11,5049,6617
"844",2022-07-12,5456,6615
"845",2022-07-13,5707,6543
"846",2022-07-14,5966,6582
"847",2022-07-15,5961,6161
"848",2022-07-16,5841,7155
"849",2022-07-17,5286,6828
"850",2022-07-18,5144,7059
"851",2022-07-19,5011,7142
"852",2022-07-20,5363,6735
"853",2022-07-21,5779,6420
"854",2022-07-22,5287,6089
"855",2022-07-23,5004,5461
"856",2022-07-24,4675,6149
"857",2022-07-25,4739,5930
"858",2022-07-26,4822,5498
"859",2022-07-27,5381,5729
"860",2022-07-28,5427,5640
"861",2022-07-29,5061,5405
"862",2022-07-30,4447,5520
"863",2022-07-31,4705,5635
"864",2022-08-01,4112,5372
"865",2022-08-02,3906,4779
"866",2022-08-03,4352,5143
"867",2022-08-04,5090,6621
"868",2022-08-05,5585,5187
"869",2022-08-06,4618,4982
"870",2022-08-07,5236,5488
"871",2022-08-08,4435,5416
"872",2022-08-09,4582,5069
"873",2022-08-10,5076,5212
"874",2022-08-11,5337,5169
"875",2022-08-12,5916,5286
"876",2022-08-13,5179,4517
